conversation_id,message_id,sender_id,text,is_answered,sentiment,category,intent,type,is_internal,timestamp,response_time
,9f1fad6f-2334-46ab-8cd2-7e7180fbe4e4,bf17272dc3f0,"Merhaba, ben Hera. Size uygun mekanı veya firmayı bulmanız konusunda yardımcı olabilirim.",Hayır,Nötr,Düğün Mekanı,Bilgi Soruyor,TEXT,False,2025-06-10T19:33:45,
,9f1fad6f-4406-43e1-8062-adf54cc40042,bf17272dc3f0,Ne tür bir etkinlik yapmayı düşünüyorsunuz?,Hayır,Nötr,Diğer,Genel Sorgu,OPTIONS,False,2025-06-10T19:33:45,0:00:00
,9f1fad78-84db-4a31-a20a-91cb127456f4,,Kına,Evet,Nötr,Kına,Genel Sorgu,SELECTED_OPTION,False,2025-06-10T19:33:51,0:00:06
,9f1fad7d-056c-4287-bc96-5056b1719eed,bf17272dc3f0,"Harika, **kına gecesi** için yardımcı olabilirim! Şimdi birkaç detay daha öğrenmem gerekiyor:

1. **Hangi şehir ve ilçede** kına gecesi yapmak istiyorsunuz?
2. Nasıl bir hizmet arıyorsunuz? (Sadece mekan mı, yoksa organizasyon, fotoğrafçı gibi ek hizmetler de ister misiniz?)",Evet,Pozitif,Düğün Mekanı,Bilgi Soruyor,TEXT,False,2025-06-10T19:33:54,0:00:03
,9f1fad8f-a46c-425e-9b22-7647e2bc4c05,42361ae407d3,Diyarbakır’da hem düğün hem kına,Evet,Nötr,Kına,Genel Sorgu,TEXT,False,2025-06-10T19:34:06,0:00:12
,9f1fad9e-bdfc-467f-898c-860683c669a7,bf17272dc3f0,"Çok güzel! **Diyarbakır’da hem düğün hem de kına gecesi** için seçenekler sunabilirim. Size en uygun mekan ve hizmetleri önerebilmem için birkaç bilgiye daha ihtiyacım var:

1. **Tahmini düğün ve kına tarihi** nedir? (Yıl-ay veya tam tarih olarak paylaşabilirsiniz.)
2. **Tahmini davetli sayısı** kaç olacak?
3. İkram tercihiniz nedir? (Yemekli, kokteyl, pasta ve meşrubat gibi)
4. Sadece mekan mı arıyorsunuz, yoksa organizasyon, fotoğrafçı gibi ek hizmetler de ister misiniz?
5. Kişi başı veya toplam **bütçeniz** nedir?

Bu bilgileri paylaşırsanız, Diyarbakır ve yakın ilçelerde size en uygun önerileri sunabilirim!",Evet,Nötr,Düğün Mekanı,Ürün Arıyor,TEXT,False,2025-06-10T19:34:16,0:00:10
,9f1fae0a-d596-4645-98d6-217693515f75,42361ae407d3,"2 ay sonra düşünüyoruz 700 davetli gelecek ikram olarak içecek ve ,pasta ve meşrubat istiyoruz",Evet,Nötr,Davetiye,Genel Sorgu,TEXT,False,2025-06-10T19:35:27,0:01:11
,9f1fae18-00e8-46d1-bb48-bf967a2fee30,bf17272dc3f0,"Teşekkürler, bilgiler için! Şu ana kadar elimde olanlar:

- **Etkinlik türü:** Düğün & Kına gecesi
- **Şehir:** Diyarbakır
- **Tarih:** Yaklaşık 2 ay sonra (Ağustos 2025)
- **Davetli sayısı:** 700 kişi
- **İkram tercihi:** Pasta ve meşrubat (yemeksiz, içecekli)

Şimdi birkaç detay daha rica edeceğim:
1. Sadece **mekan** mı arıyorsunuz, yoksa organizasyon, fotoğrafçı gibi ek hizmetler de ister misunuz?
2. **Kişi başı veya toplam bütçeniz** nedir? (Bütçenizi belirtirseniz, en uygun mekanları ve firmaları önerebilirim.)
3. Mekan tercihiniz var mı? (Açık alan, kapalı salon, havuz başı, kır düğünü vb.)

Bu detayları da paylaşırsanız, Diyarbakır ve yakın ilçelerde size en uygun mekan ve hizmetleri hemen önerebilirim!",Evet,Nötr,Düğün Mekanı,Ürün Arıyor,TEXT,False,2025-06-10T19:35:36,0:00:09
,9f1fae52-ad88-4774-8471-9f15fa22ef70,42361ae407d3,"Mekan ve fotoğraf ,100 bin tl bütçemiz var kapalı alanda",Evet,Nötr,Düğün Mekanı,Ürün Arıyor,TEXT,False,2025-06-10T19:36:14,0:00:38
,9f1fae5a-b0b2-4e79-b29a-bf8da161358d,bf17272dc3f0,"İstediğiniz kriterlere uygun yeteri kadar sonuç bulamadım, ama beğenebileceğiniz bazı güzel alternatifler için tekrar arama yapıyorum...",Hayır,Nötr,Diğer,Genel Sorgu,TEXT,False,2025-06-10T19:36:19,0:00:05
